molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_pref_name,parent_molecule_chembl_id,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,target_chembl_id,target_organism,target_pref_name,target_tax_id,type,units,uo_units,value,standard_value_nm,standard_units_standardized,mol_weight,log_p,hbd,hba,tpsa,rotatable_bonds,aromatic_rings,is_valid_molecule,activity_class,is_active,pic50
CHEMBL2380867,Cc1ccc(-c2noc(C)c2-c2ccccc2)o1,IC50,68200.0,nM,4.17,13304674.0,[],CHEMBL2384261,Inhibition of COX-2 in human whole blood assessed as inhibition of LPS-induced plasma PGE2 level by radioimmunoassay,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL2380195,J Med Chem,2013.0,"{""bei"": ""17.41"", ""le"": ""0.32"", ""lle"": ""-0.05"", ""sei"": ""10.64""}",,CHEMBL2380867,0.0,http://www.openphacts.org/units/Nanomolar,1893379.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,68.2,68200.0,nM,239.27400000000003,4.218440000000003,0,3,39.17,2,3,true,Low Activity,0,4.16621562534352
CHEMBL5272670,O=c1[nH]n2c(=O)c3ccccc3nc2/c1=C/c1ccccc1F,IC50,47.0,nM,7.33,25035284.0,"[{""comments"": null, ""relation"": ""="", ""result_flag"": 0, ""standard_relation"": ""="", ""standard_text_value"": null, ""standard_type"": ""TIME"", ""standard_units"": ""hr"", ""standard_value"": ""0.175"", ""text_value"": null, ""type"": ""TIME"", ""units"": ""sec"", ""value"": ""630.0""}]",CHEMBL5243104,Inhibition of human COX-2 using arachidonic acid as substrate preincubated for 10 mins followed by substrate addition and measured after 30 secs by ELISA,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL5241111,RSC Med Chem,2022.0,"{""bei"": ""23.85"", ""le"": ""0.44"", ""lle"": ""6.11"", ""sei"": ""10.90""}",,CHEMBL5272670,0.0,http://www.openphacts.org/units/Nanomolar,3920699.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.047,47.0,nM,307.284,1.2227999999999994,1,4,67.22999999999999,1,4,true,Highly Active,1,7.327902142064281
CHEMBL144658,CCCCSc1ccccc1OC(C)=O,IC50,34000.0,nM,4.47,76212.0,[],CHEMBL760085,Inhibitory concentration in DMSO with purified human Prostaglandin G/H synthase 2 (COX-2),B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1131194,J Med Chem,1998.0,"{""bei"": ""19.92"", ""le"": ""0.41"", ""lle"": ""0.97"", ""sei"": ""16.99""}",,CHEMBL144658,0.0,http://www.openphacts.org/units/Nanomolar,280416.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,34.0,34000.0,nM,224.32499999999996,3.504100000000002,0,3,26.3,5,1,true,Low Activity,0,4.468521082957745
CHEMBL321217,CC1(C)OC(=O)C(c2cccc(F)c2)=C1c1ccc(S(C)(=O)=O)cc1,IC50,300.0,nM,6.52,886709.0,[],CHEMBL665720,In vitro inhibitory potency against human COX-2 (HWB COX-2) by whole blood assay,B,BAO_0000190,BAO_0000221,tissue-based format,CHEMBL1132677,Bioorg Med Chem Lett,1999.0,"{""bei"": ""18.10"", ""le"": ""0.36"", ""lle"": ""3.04"", ""sei"": ""10.79""}",,CHEMBL321217,0.0,http://www.openphacts.org/units/Nanomolar,203402.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.3,170.0,nM,360.40600000000006,3.4754000000000023,0,4,60.440000000000005,3,2,true,Moderately Active,1,6.769551078621726
CHEMBL224624,COc1ccc(Oc2cnccc2NS(C)(=O)=O)cc1,IC50,2360.0,nM,5.63,1842597.0,[],CHEMBL916302,Inhibition of COX2 in human whole blood assessed as inhibition of LPS-stimulated PGE2 production,B,BAO_0000190,BAO_0000221,tissue-based format,CHEMBL1149303,J Med Chem,2004.0,"{""bei"": ""19.12"", ""le"": ""0.38"", ""lle"": ""3.38"", ""sei"": ""7.26""}",,CHEMBL224624,0.0,http://www.openphacts.org/units/Nanomolar,630626.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,2.36,2360.0,nM,294.332,2.2540000000000004,1,5,77.52000000000001,5,2,true,Low Activity,0,5.627087997029893
CHEMBL3765737,COC(=O)c1cc(/C=C/c2cc(O)cc(O)c2)ccc1O,IC50,1000.0,nM,6.00,16465900.0,[],CHEMBL3768233,Inhibition of human recombinant COX-2 using arachidonic acid as substrate assessed as PGE2 production preincubated for 10 mins followed by substrate addition incubated for 2 mins by ELISA,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL3763065,Bioorg Med Chem Lett,2016.0,"{""bei"": ""20.96"", ""le"": ""0.39"", ""lle"": ""3.24"", ""sei"": ""6.90""}",,CHEMBL3765737,0.0,http://www.openphacts.org/units/Nanomolar,2758859.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,1.0,1000.0,nM,286.283,2.760400000000001,3,5,86.99000000000001,3,2,true,Moderately Active,1,5.999999999999999
CHEMBL347267,O=C(NNc1ccc(Cl)cc1)c1ccccc1,IC50,530.0,nM,6.28,106609.0,[],CHEMBL768959,Inhibitory activity against human prostaglandin G/H synthase 2 in ECV-304 cells measured by the presence of PGE-2,B,BAO_0000190,BAO_0000219,cell-based format,CHEMBL1133431,Bioorg Med Chem Lett,2000.0,"{""bei"": ""25.44"", ""le"": ""0.50"", ""lle"": ""3.18"", ""sei"": ""15.26""}",,CHEMBL347267,0.0,http://www.openphacts.org/units/Nanomolar,305352.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.53,530.0,nM,246.69700000000003,3.0969000000000015,2,2,41.13,3,2,true,Moderately Active,1,6.27572413039921
CHEMBL4216007,COc1ccc(C(=O)Nc2ccc3oc(-c4ccc(OC)c(OC)c4)nc3c2)cc1,IC50,10590.0,nM,4.97,18493978.0,[],CHEMBL4187828,Inhibition of recombinant human N-terminal His-tagged COX2 expressed in baculovirus infected Sf21 cells assessed as reduction in prostaglandin production by enzyme immunoassay,B,BAO_0000190,BAO_0000219,cell-based format,CHEMBL4184229,Bioorg Med Chem,2018.0,"{""bei"": ""12.30"", ""le"": ""0.23"", ""lle"": ""0.21"", ""sei"": ""6.01""}",,CHEMBL4216007,0.0,http://www.openphacts.org/units/Nanomolar,3069635.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,10.59,10590.0,nM,404.42200000000014,4.7729000000000035,1,6,82.82000000000001,6,4,true,Low Activity,0,4.975104039892515
CHEMBL303674,CC(C)(O)c1cc(-c2ccc(F)cc2)c(-c2ccc(S(N)(=O)=O)cc2)s1,IC50,1600.0,nM,5.80,419942.0,[],CHEMBL875404,Inhibitory activity against human COX-2 expressed in baculovirus infected Sf9 cells,B,BAO_0000190,BAO_0000219,cell-based format,CHEMBL1128822,Bioorg Med Chem Lett,1995.0,"{""bei"": ""14.80"", ""le"": ""0.30"", ""lle"": ""1.70"", ""sei"": ""7.21""}",,CHEMBL303674,0.0,http://www.openphacts.org/units/Nanomolar,116907.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,1.6,1600.0,nM,391.4890000000001,4.096000000000002,2,4,80.39,4,3,true,Low Activity,0,5.795880017344075
CHEMBL1632406,Cc1ccc(C2CC(c3ccc(S(C)(=O)=O)cc3)=NN2C(N)=S)cc1,IC50,31850.0,nM,4.50,5116223.0,[],CHEMBL1639617,Inhibition of human recombinant COX2 expressed in baculovirus infected SF21 cell,B,BAO_0000190,BAO_0000219,cell-based format,CHEMBL1629710,Eur J Med Chem,2010.0,"{""bei"": ""12.04"", ""le"": ""0.25"", ""lle"": ""1.71"", ""sei"": ""5.94""}",,CHEMBL1632406,0.0,http://www.openphacts.org/units/Nanomolar,1316392.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,31.85,31850.0,nM,373.5030000000001,2.7932200000000007,1,4,75.76,3,2,true,Low Activity,0,4.49689056332863
CHEMBL2018667,Cc1noc2c(Cc3ccccc3)nn(Cc3n[nH]c(=S)n3C)c(=O)c12,IC50,5500.0,nM,5.26,10850141.0,[],CHEMBL2019412,Inhibition of human recombinant COX2 by fluorescence assay,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL2016541,Bioorg Med Chem,2012.0,"{""bei"": ""14.28"", ""le"": ""0.28"", ""lle"": ""3.14"", ""sei"": ""5.56""}",,CHEMBL2018667,0.0,http://www.openphacts.org/units/Nanomolar,1636532.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,5.5,5500.0,nM,368.42200000000014,2.1231099999999996,1,8,94.53,4,4,true,Low Activity,0,5.259637310505755
CHEMBL144787,CS(=O)(=O)Nc1cc2c(cc1SC1CCCCC1)C(=O)CC2,IC50,50.0,nM,7.30,303759.0,[],CHEMBL760080,In vitro inhibition of prostaglandin G/H synthase 2 expressed in human osteosarcoma 143 cells,B,BAO_0000190,BAO_0000219,cell-based format,CHEMBL1128209,J Med Chem,1995.0,"{""bei"": ""21.51"", ""le"": ""0.45"", ""lle"": ""3.69"", ""sei"": ""11.54""}",,CHEMBL144787,0.0,http://www.openphacts.org/units/Nanomolar,282984.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.05,50.0,nM,339.4820000000002,3.6118000000000023,1,4,63.24,4,1,true,Highly Active,1,7.30102999566398
CHEMBL219885,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(OCCCO)c(F)c2)cc1,IC50,100000.0,nM,,1825948.0,[],CHEMBL917136,Activity of COX2 in human heparinized blood assessed as inhibition of LPS-induced PGE2 production after 24 hrs,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1142971,J Med Chem,2007.0,,,CHEMBL219885,0.0,http://www.openphacts.org/units/Nanomolar,627598.0,>,1.0,1.0,>,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,100.0,100000.0,nM,424.8810000000002,3.496500000000002,1,6,81.42,7,3,true,Low Activity,0,3.999999999999999
CHEMBL1164245,COc1ccc2c(c1)c1c(n2C(=O)c2ccccc2)CCNC1.Cl,IC50,87600.0,nM,4.06,3339793.0,[],CHEMBL1168969,Inhibition of COX2 in human whole blood assessed as inhibition of 12-hydroxyheptadecatrienoic acid production by HPLC method,B,BAO_0000190,BAO_0000221,tissue-based format,CHEMBL1165918,Bioorg Med Chem,2010.0,"{""bei"": ""13.24"", ""le"": ""0.24"", ""lle"": ""1.08"", ""sei"": ""9.38""}",,CHEMBL1199663,0.0,http://www.openphacts.org/units/Nanomolar,918676.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,87.6,87600.0,nM,342.8260000000001,3.4059000000000013,1,4,43.26,2,3,true,Low Activity,0,4.057495893831919
CHEMBL155887,COc1ccc(-c2nn(-c3ccccc3)c3c2CCCCC3)cc1,IC50,1240.0,nM,5.91,108914.0,[],CHEMBL768959,Inhibitory activity against human prostaglandin G/H synthase 2 in ECV-304 cells measured by the presence of PGE-2,B,BAO_0000190,BAO_0000219,cell-based format,CHEMBL1133431,Bioorg Med Chem Lett,2000.0,"{""bei"": ""18.55"", ""le"": ""0.34"", ""lle"": ""1.09"", ""sei"": ""21.84""}",,CHEMBL155887,0.0,http://www.openphacts.org/units/Nanomolar,305337.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,1.24,1240.0,nM,318.42000000000013,4.816800000000004,0,3,27.05,3,3,true,Low Activity,0,5.906578314837764
CHEMBL3974473,Cc1cc(C)c2c(=O)n(CN(C)CCNc3ccccc3)sc2n1,IC50,494300.0,nM,,16804596.0,[],CHEMBL3869869,Inhibition of COX-2 (unknown origin) using arachidonic acid as substrate preincubated for 2 mins followed by substrate addition in presence of TMPD by spectrophotometric analysis relative to control,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL3868617,Bioorg Med Chem,2017.0,,,CHEMBL3974473,0.0,http://www.openphacts.org/units/Nanomolar,2809455.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,494.3,2871187.3,nM,342.468,3.076240000000001,1,6,50.160000000000004,6,3,true,Low Activity,0,2.541938475666777
CHEMBL5286186,COc1ccc(-c2cc(-c3cccc(-n4cnnn4)c3)no2)cc1,IC50,41.0,nM,7.39,25034965.0,"[{""comments"": null, ""relation"": ""="", ""result_flag"": 0, ""standard_relation"": ""="", ""standard_text_value"": null, ""standard_type"": ""TIME"", ""standard_units"": ""hr"", ""standard_value"": ""0.2"", ""text_value"": null, ""type"": ""TIME"", ""units"": ""min"", ""value"": ""12.0""}]",CHEMBL5243072,Inhibition of human COX-2 using arachidonic acid as substrate preincubated for 10 mins followed by substrate addition and measured after 2 mins by ELISA,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL5241111,RSC Med Chem,2022.0,"{""bei"": ""23.13"", ""le"": ""0.42"", ""lle"": ""4.40"", ""sei"": ""9.37""}",,CHEMBL5286186,0.0,http://www.openphacts.org/units/Nanomolar,3920648.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.041,41.0,nM,319.32400000000007,2.9929000000000006,0,7,78.86,4,4,true,Highly Active,1,7.387216143280263
CHEMBL5269945,CC1=NN(c2ccc(S(N)(=O)=O)cc2)C(=O)/C1=C\c1sccc1C,IC50,150.0,nM,6.82,25035172.0,"[{""comments"": null, ""relation"": ""="", ""result_flag"": 0, ""standard_relation"": ""="", ""standard_text_value"": null, ""standard_type"": ""TIME"", ""standard_units"": ""hr"", ""standard_value"": ""0.25"", ""text_value"": null, ""type"": ""TIME"", ""units"": ""min"", ""value"": ""15.0""}]",CHEMBL5243087,Inhibition of human recombinant COX-2 using arachidonic acid as substrate preincubated for 5 mins followed by substrate addition and measured after 10 mins by microplate reader analysis,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL5241111,RSC Med Chem,2022.0,"{""bei"": ""18.88"", ""le"": ""0.39"", ""lle"": ""4.31"", ""sei"": ""7.35""}",,CHEMBL5269945,0.0,http://www.openphacts.org/units/Nanomolar,3920605.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.15,150.0,nM,361.44800000000004,2.510020000000001,1,5,92.82999999999998,3,2,true,Moderately Active,1,6.823908740944318
CHEMBL622,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,IC50,561.0,nM,6.25,7671612.0,[],CHEMBL1909131,DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid),B,BAO_0000190,BAO_0000219,cell-based format,CHEMBL1909046,,2016.0,"{""bei"": ""21.75"", ""le"": ""0.41"", ""lle"": ""2.87"", ""sei"": ""10.03""}",ETODOLAC,CHEMBL622,0.0,http://www.openphacts.org/units/Nanomolar,1539753.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.561,561.0,nM,287.35900000000004,3.383000000000002,2,2,62.32000000000001,4,2,true,Moderately Active,1,6.251037138743838
CHEMBL276052,O=c1c2ccccc2c(S(=O)(=O)c2ccccc2)c(O)n1Cc1ccccc1,IC50,140.0,nM,6.85,246455.0,[],CHEMBL763341,Concentration that caused a 50% decrease in the maximal inhibition of Prostaglandin G/H synthase 2 activity as measured by PGE-2 production.,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1130988,Bioorg Med Chem Lett,1998.0,"{""bei"": ""17.51"", ""le"": ""0.33"", ""lle"": ""3.26"", ""sei"": ""8.97""}",,CHEMBL276052,0.0,http://www.openphacts.org/units/Nanomolar,21196.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.14,140.0,nM,391.4480000000001,3.5882000000000023,1,5,76.37,4,4,true,Moderately Active,1,6.853871964321761
CHEMBL146247,CCOc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)c(CO)c2)cc1,IC50,901.0,nM,6.04,426194.0,[],CHEMBL768964,Inhibitory activity against human Prostaglandin G/H synthase 2 expressed in sf-9 cells infected with baculovirus,B,BAO_0000190,BAO_0000219,cell-based format,CHEMBL1147406,Bioorg Med Chem Lett,2004.0,"{""bei"": ""13.69"", ""le"": ""0.28"", ""lle"": ""2.95"", ""sei"": ""5.63""}",,CHEMBL146247,0.0,http://www.openphacts.org/units/Nanomolar,287025.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.901,901.0,nM,441.43100000000015,3.0965000000000007,2,6,107.44000000000001,6,3,true,Moderately Active,1,6.045275209020936
CHEMBL16881,COc1nnc(-c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)s1,IC50,3000.0,nM,5.52,736267.0,[],CHEMBL655563,Inhibition of recombinant human prostaglandin G/H synthase 2 (COX-2),B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1132622,J Med Chem,1999.0,"{""bei"": ""17.23"", ""le"": ""0.34"", ""lle"": ""1.01"", ""sei"": ""10.00""}",,CHEMBL16881,0.0,http://www.openphacts.org/units/Nanomolar,19122.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,3.0,3000.0,nM,320.458,4.514300000000004,1,5,55.24000000000001,2,2,true,Low Activity,0,5.522878745280337
CHEMBL46667,CNc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,IC50,920.0,nM,6.04,297080.5,[],CHEMBL762906,Concentration required to inhibit human Prostaglandin G/H synthase 2 (COX-2) by 50%,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1130039,J Med Chem,1999.0,"{""bei"": ""15.27"", ""le"": ""0.31"", ""lle"": ""2.04"", ""sei"": ""9.43""}",,CHEMBL46667,0.0,http://www.openphacts.org/units/Nanomolar,138731.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.92,916.005,nM,395.40600000000006,4.003300000000002,1,5,63.99,4,3,true,Moderately Active,1,6.038102155735552
CHEMBL5267820,CC1=NNC(=O)/C1=N/Nc1cccc(-c2nc3ccccc3s2)c1,IC50,100.0,nM,7.00,24995037.0,[],CHEMBL5231434,Inhibition of COX-2 (unknown origin),B,BAO_0000190,BAO_0000357,single protein format,CHEMBL5230113,Eur J Med Chem,2020.0,"{""bei"": ""20.87"", ""le"": ""0.40"", ""lle"": ""3.76"", ""sei"": ""8.89""}",,CHEMBL5267820,0.0,http://www.openphacts.org/units/Nanomolar,3909005.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.1,100.0,nM,335.39200000000005,3.236900000000001,2,6,78.74,3,3,true,Highly Active,1,7.0
CHEMBL4126559,CCN1C(C)=CC/C1=N/N=C(\C)c1cc2ccccc2oc1=O,IC50,310.0,nM,6.51,18305697.0,[],CHEMBL4125665,Inhibition of human COX2 using [14C]arachidonic acid as substrate preincubated for 5 mins followed by substrate addition measured after 45 mins by TLC,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL4118289,Bioorg Med Chem,2018.0,"{""bei"": ""21.04"", ""le"": ""0.39"", ""lle"": ""2.97"", ""sei"": ""11.19""}",,CHEMBL4126559,0.0,http://www.openphacts.org/units/Nanomolar,3038854.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.31,310.0,nM,309.3690000000001,3.544900000000003,0,4,58.17,3,2,true,Moderately Active,1,6.508638306165727
CHEMBL4799227,CCOC(=O)C1CCN(C(=O)c2cc(-c3ccccc3)n(-c3ccc(S(N)(=O)=O)cc3)n2)CC1,IC50,4120.0,nM,5.38,22983435.0,"[{""comments"": null, ""relation"": ""="", ""result_flag"": 0, ""standard_relation"": ""="", ""standard_text_value"": null, ""standard_type"": ""TIME"", ""standard_units"": ""hr"", ""standard_value"": ""0.1167"", ""text_value"": null, ""type"": ""Time"", ""units"": ""min"", ""value"": ""7.0""}]",CHEMBL4773432,Inhibition of recombinant human COX2 using arachidonic acid as substrate preincubated for 5 mins followed by substrate addition and measured after 2 mins by Ellman's reagent based enzyme immunoassay,A,BAO_0000190,BAO_0000357,single protein format,CHEMBL4765415,Eur J Med Chem,2020.0,,,CHEMBL4799227,0.0,http://www.openphacts.org/units/Nanomolar,3569352.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,4.12,4120.0,nM,482.56200000000024,2.602000000000001,1,7,124.58999999999999,6,3,true,Low Activity,0,5.385102783966865
CHEMBL1775088,O=[N+]([O-])c1cccc(Oc2ccc(OCCN3CCCC3)cc2)c1,IC50,13000.0,nM,4.89,6190294.0,[],CHEMBL1777072,Inhibition of COX2 in human whole blood assessed as inhibition of LPS-induced PGE2 production after 24 hrs by ELISA,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1772961,J Med Chem,2011.0,"{""bei"": ""14.88"", ""le"": ""0.28"", ""lle"": ""1.03"", ""sei"": ""7.54""}",,CHEMBL1775088,0.0,http://www.openphacts.org/units/Nanomolar,1423311.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,13.0,56500.0,nM,328.36800000000005,3.8617000000000026,0,5,64.84,7,2,true,Low Activity,0,4.24795155218056
CHEMBL5206077,COc1ccc(-n2nc(OCC(F)(F)F)nc2-c2ccc(O[11CH3])cc2)cc1,IC50,1000.0,nM,6.00,24868245.0,[],CHEMBL5152268,Inhibition of human COX2,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL5150013,J Med Chem,2021.0,"{""bei"": ""15.82"", ""le"": ""0.30"", ""lle"": ""2.11"", ""sei"": ""10.27""}",,CHEMBL5222934,0.0,http://www.openphacts.org/units/Nanomolar,3885890.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,1.0,1000.0,nM,378.33843360000003,3.8926000000000025,0,6,58.400000000000006,6,3,true,Moderately Active,1,5.999999999999999
CHEMBL2159925,Cc1ccc(C2CC(c3ccc(C)c(C)c3)=NN2C2=NC(=O)CS2)cc1,IC50,1200.0,nM,5.92,12074215.0,[],CHEMBL2162988,Inhibition of COX-2 by chemiluminescent assay,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL2157901,Bioorg Med Chem,2012.0,"{""bei"": ""16.29"", ""le"": ""0.31"", ""lle"": ""1.53"", ""sei"": ""13.15""}",,CHEMBL2159925,0.0,http://www.openphacts.org/units/Nanomolar,1735166.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,1.2,1200.0,nM,363.4860000000001,4.392360000000004,0,4,45.03,2,2,true,Low Activity,0,5.920818753952374
CHEMBL322949,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(Cl)c3)CCC2)cc1,IC50,30.0,nM,7.52,318862.5,[],CHEMBL760088,In vitro inhibition of prostaglandin G/H synthase 2 (COX-2).,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1128591,J Med Chem,1998.0,"{""bei"": ""21.44"", ""le"": ""0.45"", ""lle"": ""2.54"", ""sei"": ""22.04""}",,CHEMBL322949,0.0,http://www.openphacts.org/units/Nanomolar,239710.5,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.03,30.1,nM,350.8420000000001,4.977300000000004,0,2,34.14,3,2,true,Highly Active,1,7.521433504406155
CHEMBL3892572,O=C(O)CNc1nc(-c2ccccc2)c(-c2ccccc2)s1,IC50,10710.0,nM,4.97,16827577.0,[],CHEMBL3874648,Inhibition of human recombinant COX-2 assessed as reduction in oxidation of TMPD using arachidonic acid as substrate preincubated for 5 mins followed by substrate and TMPD addition measured after 5 mins by colorimetric assay,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL3872255,Bioorg Med Chem,2017.0,"{""bei"": ""16.01"", ""le"": ""0.31"", ""lle"": ""1.00"", ""sei"": ""7.99""}",,CHEMBL3892572,0.0,http://www.openphacts.org/units/Nanomolar,2813649.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,10.71,10710.0,nM,310.37800000000004,3.973600000000002,2,4,62.22,5,3,true,Low Activity,0,4.970210529168144
CHEMBL1078378,CCc1cccc(Nc2cnccc2NS(C)(=O)=O)c1,IC50,100000.0,nM,,3219441.0,[],CHEMBL1106771,Inhibition of COX2 in LPS-stimulated human whole blood assessed as PGE2 production by enzyme immunoassay,B,BAO_0000190,BAO_0000221,tissue-based format,CHEMBL1154327,J Med Chem,2009.0,,,CHEMBL1078378,0.0,http://www.openphacts.org/units/Nanomolar,896836.0,>,1.0,1.0,>,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,100.0,100000.0,nM,291.37600000000003,2.7591,2,4,71.09,5,2,true,Low Activity,0,3.999999999999999
CHEMBL16843,CC[S+]([O-])c1nnc(-c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)s1,IC50,20000.0,nM,,737708.0,[],CHEMBL655563,Inhibition of recombinant human prostaglandin G/H synthase 2 (COX-2),B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1132622,J Med Chem,1999.0,,,CHEMBL16843,0.0,http://www.openphacts.org/units/Nanomolar,19124.0,>,1.0,1.0,>,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,20.0,20000.0,nM,366.55200000000013,4.633200000000004,1,5,69.07000000000001,3,2,true,Low Activity,0,4.698970004336019
CHEMBL4846538,CCCCOc1nc(OCC(C)(C)O)c(-c2ccc(S(C)(=O)=O)cc2)cc1C(=O)O,IC50,50000.0,nM,,23150577.0,"[{""comments"": null, ""relation"": ""="", ""result_flag"": 0, ""standard_relation"": ""="", ""standard_text_value"": null, ""standard_type"": ""TIME"", ""standard_units"": ""hr"", ""standard_value"": ""1.0"", ""text_value"": null, ""type"": ""Time"", ""units"": ""min"", ""value"": ""60.0""}]",CHEMBL4810363,Inhibition of human recombinant COX-2 assessed as reduction in peroxidase activity using arachidonic acid as substrate preincubated for 60 mins followed by substrate addition for 2 secs by ADPH based fluorometric analysis,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL4808216,J Med Chem,2021.0,,,CHEMBL4846538,0.0,http://www.openphacts.org/units/Nanomolar,3598511.0,>,1.0,1.0,>,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,50.0,50000.0,nM,437.5140000000002,3.1789000000000014,2,7,123.02,10,2,true,Low Activity,0,4.30102999566398
